title,n,mean,sd,se,ci95_lo,ci95_hi
Dune: Part Two,4,4.5,0.5773502691896257,0.28867513459481287,3.934196736194167,5.065803263805833
Spider-Man: Across the Spider-Verse,4,4.5,0.5773502691896257,0.28867513459481287,3.934196736194167,5.065803263805833
Inside Out 2,4,4.25,0.9574271077563381,0.47871355387816905,3.3117214343987884,5.188278565601212
Oppenheimer,5,4.2,0.8366600265340756,0.3741657386773941,3.4666351521923078,4.933364847807693
Godzilla Minus One,4,4,0.816496580927726,0.408248290463863,3.1998333506908283,4.800166649309172
Barbie,4,3.5,1.2909944487358056,0.6454972243679028,2.2348254402389105,4.765174559761089
